distance_head-head,alignment_head-mouth,alignment_dorsal_back-dorsal_center,angles_head-mouth to head,angles_dorsal_back-dorsal_center to head,angles_head-mouth to dorsal_back,angles_dorsal_back-dorsal_center to dorsal_back,cluster_un15,embedding_un15_x,embedding_un15_y,cluster_un25,embedding_un25_x,embedding_un25_y,cluster_un50,embedding_un50_x,embedding_un50_y,cluster_un100,embedding_un100_x,embedding_un100_y
320.9821810945863,0.3965096025320219,0.3683214625842432,0.4827485435338177,0.4870071113007655,0.5717471620716978,0.5726736343890803,5,13.337706,-0.2631627,1,-2.1641262,3.3516662,3,11.130849,6.276314,1,-0.41641894,3.699074
259.7835994495269,0.4634073654335559,0.2649611990539817,1.5705693047991012,1.405714749295755,1.5077004097287148,1.2667208314150615,5,7.467786,3.3748498,1,3.647343,3.6761625,1,6.26248,6.631295,2,4.276123,3.485074
320.61234150667326,0.0496195296873409,0.1194672223530341,2.75428840284261,2.7001412130196494,2.727536721020546,2.661956058064333,4,-7.103728,-0.046411015,0,11.435444,2.230441,1,-0.8838952,7.863105,6,10.604657,2.5366468
349.3242556948014,0.9311037554047304,0.8203880143351747,0.9443499840435918,1.0281269554868002,1.0236665366651856,1.0998399552152758,2,10.194298,2.5745218,1,1.0007057,6.8140235,3,7.917366,3.6229787,4,2.2801723,6.3911166
268.6579400990815,0.2457273933156695,0.3102305058181269,2.6260406306125024,2.4543274636910257,2.7398585951074512,2.5462477953158333,4,-5.490959,0.525238,0,11.106669,2.6450021,1,-0.6514283,7.306063,6,10.346531,2.9148643
203.90925706447385,0.5356775219615113,0.5170403496246154,1.8317690524009735,1.6183434212300327,1.8582256686565768,1.609318664147081,5,4.6129017,1.8115422,1,5.378411,5.6428413,1,4.4991674,4.280539,4,5.484991,5.6210213
218.6357753713977,0.94385554182229,0.8365647988455773,1.5564903478769718,1.4163815021068824,1.7878646208728726,1.6683571111035416,5,5.9457116,-0.3178208,1,3.8902438,9.747276,1,6.1951146,1.2267425,4,4.0085154,8.681422
275.19346982504663,0.3853597924665839,0.2928016938010814,1.3164429309085508,1.337719323977296,1.1970148249410326,1.2073383337935242,1,8.56016,-3.9200206,1,2.4428475,2.1306398,3,7.1246767,7.572556,2,3.3485682,2.7740328
228.23292085174376,0.7014151348169028,0.6282514366265602,1.2260323496076084,1.2319350006016363,1.3044777384755957,1.262890230099514,5,7.017576,1.0831971,1,2.9013693,7.652174,1,6.714595,3.0782733,4,3.6258614,6.9131355
192.6778408656309,0.7011699374103877,0.770247279636653,2.281142735344557,1.772412127663044,2.5862393697359938,2.103980319612152,5,2.3702543,-0.012315917,1,7.3336725,9.616309,1,2.7646842,1.8430221,3,7.39773,8.236808
